"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q8UJZMJ5","journalArticle","2009","Harvey, Chris J.","Effects of temperature change on demersal fishes in the California Current: a bioenergetics approach","Canadian Journal of Fisheries and Aquatic Sciences","","0706-652X, 1205-7533","10.1139/F09-087","http://www.nrcresearchpress.com/doi/10.1139/F09-087","Diverse fish assemblages should feature a range of biological and ecological responses to temperature change. Using preliminary bioenergetics models, I simulated growth and maturation of three California Current groundfish (yelloweye rockfish ( Sebastes ruberrimus ), sablefish ( Anoplopoma fimbria ), and spiny dogfish ( Squalus acanthias )) at fixed temperatures ranging from 5 °C to 11 °C. I examined three response variables (size at age 1 (W               1               ), age at 50% maturity (τ               50%               ), and total prey consumption (C)). Yelloweye rockfish responded most strongly for W               1               , which increased 496% as temperature increased from 5 °C to 11 °C. Spiny dogfish τ               50%               was highly sensitive, declining from >48 years at 5 °C to <13 years at 11 °C. Age-specific C was most responsive in yelloweye rockfish, increasing by more than fivefold over the range of temperatures, although sablefish likely have greater community-wide impact because their trophic level and absolute feeding rates are higher. Regime shifts, temperature anomalies, or global climate change may directly affect fish energy budgets, elicit range shifts, or produce complex ecological interactions. Studies like this will help managers to identify temperature-sensitive species and anticipate potential changes in populations and diverse communities.","2009-09","2025-02-21 22:45:11","2025-02-21 22:45:11","2025-02-21 22:45:11","1449-1461","","9","66","","Can. J. Fish. Aquat. Sci.","Effects of temperature change on demersal fishes in the California Current","","","","","","","en","http://www.nrcresearchpress.com/page/about/CorporateTextAndDataMining","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFBR5J5A","journalArticle","2023","Calle-Morán, Marcos D.; Erazo-Garcés, Héctor M.; Hernández-Téllez, Ana R.; Galván-Magaña, Felipe; Estupiñán-Montaño, Colombo","Feeding ecology of the shortfin mako shark, <i>Isurus oxyrinchus</i> , in the Ecuadorian Pacific Ocean","Journal of the Marine Biological Association of the United Kingdom","","0025-3154, 1469-7769","10.1017/S0025315423000863","https://www.cambridge.org/core/product/identifier/S0025315423000863/type/journal_article","Abstract                            Shortfin mako shark,               Isurus oxyrinchus               , is listed as an endangered species with declining global population. Thus, studies regarding its biology and ecology are important to recommend fishery management and conservation measures. This study aimed to determine the diet composition and feeding habits of               I. oxyrinchus               in Ecuadorian waters. Samples were obtained from Santa Rosa fishing port (Ecuador). The total length (L               T               ), sex and sexual characteristics were recorded, and stomach contents were collected. A total of 142 individuals were recorded, comprising 81 females (104–295 cm L               T               ) and 61 males (127–245 cm L               T               ). A total of 24 prey species were identified, including crustaceans, cephalopods, teleosts and cetaceans. According to the Prey-Specific Index of Relative Importance (PSIRI), the main prey taxa were the ommastrephid squid,               Dosidicus gigas               (42.57%) and               Sthenoteuthis oualaniensis               (21.04%), followed by fish from the family Hemiramphidae (11.85%).               Isurus oxyrinchus               is a specialist predator that preferred a low number of prey (               Bi               = 0.25), both by sex (               Bi               ; females = 0.29 and males = 0.34) and life stages (               Bi               ; juveniles = 0.27 and adults = 0.37). The trophic overlap was medium for sexes (               J               = 0.54) and biological cycle phases (               J               = 0.42). Trophic level (                                TL                 k                              ) was 4.47, indicating that               I. oxyrinchus               is a tertiary predator. This information will help in fisheries management based on an ecosystem approach, where this species fulfils an ecological role, and its interactions with other species allow us to understand how the flow of nutrients and energy occurs within an ecosystem.","2023","2025-02-21 22:45:12","2025-02-21 22:45:12","2025-02-21 22:45:12","e96","","","103","","J. Mar. Biol. Ass.","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5ILMKEX","journalArticle","2012","Sylvan, J. B.; Pyenson, B. C.; Rouxel, O.; German, C. R.; Edwards, K. J.","Time‐series analysis of two hydrothermal plumes at 9°50′N East Pacific Rise reveals distinct, heterogeneous bacterial populations","Geobiology","","1472-4677, 1472-4669","10.1111/j.1472-4669.2011.00315.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1472-4669.2011.00315.x","Abstract                            We deployed sediment traps adjacent to two active hydrothermal vents at 9°50′N on the East Pacific Rise (EPR) to assess the variability in bacterial community structure associated with plume particles on the timescale of weeks to months, to determine whether an endemic population of plume microbes exists, and to establish ecological relationships between bacterial populations and vent chemistry. Automated rRNA intergenic spacer analysis (ARISA) indicated that there are separate communities at the two different vents and temporal community variations between each vent. Correlation analysis between chemistry and microbiology indicated that shifts in the coarse particulate (>1 mm) Fe/(Fe+Mn+Al), Cu, V, Ca, Al,               232               Th, and Ti as well as fine‐grained particulate (<1 mm) Fe/(Fe+Mn+Al), Fe, Ca, and Co are reflected in shifts in microbial populations. 16S rRNA clone libraries from each trap at three time points revealed a high percentage of Epsilonproteobacteria clones and hyperthermophilic Aquificae. There is a shift toward the end of the experiment to more Gammaproteobacteria and Alphaproteobacteria, many of whom likely participate in Fe and S cycling. The particle‐attached plume environment is genetically distinct from the surrounding seawater. While work to date in hydrothermal environments has focused on determining the microbial communities on hydrothermal chimneys and the basaltic lavas that form the surrounding seafloor, little comparable data exist on the plume environment that physically and chemically connects them. By employing sediment traps for a time‐series approach to sampling, we show that bacterial community composition on plume particles changes on timescales much shorter than previously known.","2012-03","2025-02-21 22:45:13","2025-02-21 22:45:13","2025-02-21 22:45:13","178-192","","2","10","","Geobiology","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/SDUQEMVI/Time‐series analysis of two hydrothermal plumes at - Sylvan et al. - 2012.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDDXLRSK","journalArticle","2004","Stavn, Robert H.; Keen, Timothy R.","Suspended minerogenic particle distributions in high‐energy coastal environments: Optical implications","Journal of Geophysical Research: Oceans","","0148-0227","10.1029/2003JC002098","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2003JC002098","This paper examines suspended minerogenic particle distributions in the near‐coastal ocean, Oceanside, California. The environment is dominated by resuspension of particles from a well‐sorted sandy sediment. We obtain information on the suspended mineral matter from the relocatable numerical sedimentation model, TRANS98. Inputs for the model include bottom particle size distribution, wind speed, wave period and height, and near‐bottom current speed. Model output is a vertical profile of mineral particle concentrations and size distributions at selected depths. The mineral particle size distribution allows the calculation of the total scattering coefficient of suspended minerogenic matter. The particle size distribution for the bed at Oceanside is approximately Gaussian lognormal in character. The predicted size distribution near bottom is a skewed Gaussian lognormal; then the distribution shifts toward the increasing importance of smaller size classes as we approach the water surface. Deeper stations maintain a lognormal character up into the surface layers while the shallower stations switch to a particle size distribution of the smallest size class being the modal class in the surface layers. Hyperbolic size distributions have been proposed for the Oceanside site from optical observations. These distributions would have a slope of 2.1 for coastal water which would decrease to as low as 1.3 for shallow nearshore stations and near the bottom. None of the proposed hyperbolic slopes provides an adequate approximation of the particle distributions predicted by TRANS98. The larger particle size classes are significantly overestimated by hyperbolic models, which causes the total scattering coefficient of the minerogenic matter to be overestimated. These results indicate that hyperbolic slope models cannot be used to retrieve particle size distributions by inversions involving the total scattering coefficient nor are they accurate estimators of the minerogenic scattering coefficient.","2004-05","2025-02-21 22:45:16","2025-02-21 22:45:16","2025-02-21 22:45:16","2003JC002098","","C5","109","","J. Geophys. Res.","Suspended minerogenic particle distributions in high‐energy coastal environments","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/AX6VB4R5/Suspended minerogenic particle distributions in hi - Stavn and Keen - 2004.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHDGXI34","journalArticle","2016","Lehnert, Helmut; Stone, Robert P.","A comprehensive inventory of the Gulf of Alaska sponge fauna with the description of two new species and geographic range extensions","Zootaxa","","1175-5334, 1175-5326","10.11646/zootaxa.4144.3.5","https://www.mapress.com/zt/article/view/zootaxa.4144.3.5","Two new species, Hamacantha (Vomerula) cassanoi n. sp. and Prosuberites salgadoi n. sp., are described from the eastern Gulf of Alaska in the North Pacific Ocean. These are the first records of the genera Hamacantha and Prosuberites from Alaska. We also report two geographic range extensions for the region. Geodia japonica Sollas, 1888 was previously known only from Japan and is now recorded from the Gulf of Alaska. We also document the first record of Rhizaxinella cervicornis Thiele, 1898 from the Gulf of Alaska. Our comprehensive inventory of the sponge fauna of the Gulf of Alaska confirms the presence of 52 taxa with an additional 38 taxa suspected of occurring in the region. This is a much lower number of species than that recorded from neighbouring regions like the Aleutian Islands and British Columbia.","2016-07-28","2025-02-21 22:45:19","2025-02-21 22:45:19","2025-02-21 22:45:19","","","3","4144","","Zootaxa","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJZYCXQP","journalArticle","2014","Fenberg, Phillip B.; Posbic, Karine; Hellberg, Michael E.","Historical and recent processes shaping the geographic range of a rocky intertidal gastropod: phylogeography, ecology, and habitat availability","Ecology and Evolution","","2045-7758, 2045-7758","10.1002/ece3.1181","https://onlinelibrary.wiley.com/doi/10.1002/ece3.1181","Abstract                            Factors shaping the geographic range of a species can be identified when phylogeographic patterns are combined with data on contemporary and historical geographic distribution, range‐wide abundance, habitat/food availability, and through comparisons with codistributed taxa. Here, we evaluate range dynamism and phylogeography of the rocky intertidal gastropod                                M                 exacanthina lugubris lugubris                              across its geographic range – the Pacific coast of the Baja peninsula and southern               C               alifornia. We sequenced mitochondrial               DNA               (               CO               1) from ten populations and compliment these data with museum records, habitat availability and range‐wide field surveys of the distribution and abundance of               M. l. lugubris               and its primary prey (the barnacle                                C                 hthamalus fissus                              ). The geographic range of               M. l. lugubris               can be characterized by three different events in its history: an old sundering in the mid‐peninsular region of Baja (~ 417,000 years ago) and more recent northern range expansion and southern range contraction. The mid‐peninsular break is shared with many terrestrial and marine species, although               M. l. lugubris               represents the first mollusc to show it. This common break is often attributed to a hypothesized ancient seaway bisecting the peninsula, but for               M. l. lugubris               it may result from large habitat gaps in the southern clade. Northern clade populations, particularly near the historical northern limit (prior to the 1970s), have high local abundances and reside in a region with plentiful food and habitat – which makes its northern range conducive to expansion. The observed southern range contraction may result from the opposite scenario, with little food or habitat nearby. Our study highlights the importance of taking an integrative approach to understanding the processes that shape the geographic range of a species via combining range‐wide phylogeography data with temporal geographic distributions and spatial patterns of habitat/food availability.","2014-08","2025-02-21 22:45:20","2025-02-21 22:45:20","2025-02-21 22:45:20","3244-3255","","16","4","","Ecology and Evolution","Historical and recent processes shaping the geographic range of a rocky intertidal gastropod","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/AS6T3DCS/Historical and recent processes shaping the geogra - Fenberg et al. - 2014.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3V9ZK754","journalArticle","2014","Arbuckle, N. Scarlett M.; Wormuth, John H.","Trace elemental patterns in Humboldt squid statoliths from three geographic regions","Hydrobiologia","","0018-8158, 1573-5117","10.1007/s10750-013-1608-4","http://link.springer.com/10.1007/s10750-013-1608-4","","2014-03","2025-02-21 22:45:21","2025-02-21 22:45:21","2025-02-21 22:45:21","115-123","","1","725","","Hydrobiologia","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AXMQEIR","journalArticle","2017","Jaramillo, Eduardo; Dugan, Jenifer E.; Hubbard, David M.; Contreras, Heraldo; Duarte, Cristian; Acuña, Emilio; Schoeman, David S.","Macroscale patterns in body size of intertidal crustaceans provide insights on climate change effects","PLOS ONE","","1932-6203","10.1371/journal.pone.0177116","https://dx.plos.org/10.1371/journal.pone.0177116","","2017-05-08","2025-02-21 22:45:22","2025-02-21 22:45:22","2025-02-21 22:45:22","e0177116","","5","12","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/J4Y4GITU/Macroscale patterns in body size of intertidal cru - Jaramillo et al. - 2017.pdf","","","","Sotka, Erik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6R6I8G5J","journalArticle","2020","Liu, Bi Lin; Xu, Wei; Chen, Xin Jun; Huan, Meng Yao; Liu, Na","Ontogenetic shifts in trophic geography of jumbo squid, Dosidicus gigas, inferred from stable isotopes in eye lens","Fisheries Research","","01657836","10.1016/j.fishres.2020.105507","https://linkinghub.elsevier.com/retrieve/pii/S0165783620300242","","2020-06","2025-02-21 22:45:24","2025-02-21 22:45:24","2025-02-21 22:45:24","105507","","","226","","Fisheries Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKZKIQM8","journalArticle","2015","Scapini, F.; Gambineri, S.; Rossano, C.; ElGtari, M.; Fanini, L.; Nourisson, D.H.","Talitrid orientation as bioindicator of shoreline stability: Protected headland-bays versus exposed extended beaches","Ecological Indicators","","1470160X","10.1016/j.ecolind.2015.01.012","https://linkinghub.elsevier.com/retrieve/pii/S1470160X15000138","","2015-06","2025-02-21 22:45:25","2025-02-21 22:45:25","2025-02-21 22:45:25","28-36","","","53","","Ecological Indicators","Talitrid orientation as bioindicator of shoreline stability","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/Z72Q6B4C/Talitrid orientation as bioindicator of shoreline - Scapini et al. - 2015.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KWL2D94","journalArticle","2016","Valencia-Giraldo, Daniel; Lazarus, Juan F.; Londoño-Cruz, Edgardo","New records of decapod species from Malpelo Island, tropical eastern Pacific","Marine Biodiversity","","1867-1616, 1867-1624","10.1007/s12526-015-0401-1","http://link.springer.com/10.1007/s12526-015-0401-1","","2016-09","2025-02-21 22:45:34","2025-02-21 22:45:34","2025-02-21 22:45:34","699-702","","3","46","","Mar Biodiv","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZRCMWJV","document","","","[No title found]","","","","","","","","2025-02-21 22:45:35","2025-02-21 22:45:35","","","","","","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RP5IXSIR","journalArticle","2016","Diez, Mariano J.; Cabreira, Ariel G.; Madirolas, Adrián; Lovrich, Gustavo A.","Hydroacoustical evidence of the expansion of pelagic swarms of Munida gregaria (Decapoda, Munididae) in the Beagle Channel and the Argentine Patagonian Shelf, and its relationship with habitat features","Journal of Sea Research","","13851101","10.1016/j.seares.2016.04.004","https://linkinghub.elsevier.com/retrieve/pii/S1385110116300569","","2016-08","2025-02-21 22:45:35","2025-02-21 22:45:35","2025-02-21 22:45:35","1-12","","","114","","Journal of Sea Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/INKLQ6UU/Hydroacoustical evidence of the expansion of pelag - Diez et al. - 2016.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25LJYHDV","journalArticle","2021","Rooper, Christopher N; Ortiz, Ivonne; Hermann, Albert J; Laman, Ned; Cheng, Wei; Kearney, Kelly; Aydin, Kerim","Predicted shifts of groundfish distribution in the Eastern Bering Sea under climate change, with implications for fish populations and fisheries management","ICES Journal of Marine Science","","1095-9289","10.1093/icesjms/fsaa215","https://academic.oup.com/icesjms/article/78/1/220/6024437","Abstract             Climate-related distribution shifts for marine species are, in general, amplified in northern latitudes. The objective of this study was to predict future distributions of commercially important species in the eastern Bering Sea under six climate scenarios, by incorporating predictions of future oceanographic conditions. We used species distribution modelling to determine potential distribution changes in four time periods (2013–2017, 2030–2039, 2060–2069, and 2090-2099) relative to 1982–2012 for 16 marine fish and invertebrates. Most species were predicted to have significant shifts in the centre of gravity of the predicted abundance, the area occupied, and the proportion of the predicted abundance found in the standard bottom trawl survey area. On average the shifts were modest, averaging 35.2 km (ranging from 1 to 202 km). There were significant differences in the predicted trend for distribution metrics among climate scenarios, with the most extensive changes in distribution resulting from Representative Concentration Pathway 8.5 climate scenarios. The variability in distributional shifts among years and climate scenarios was high, although the magnitudes were low. This study provides a basis for understanding where fish populations might expand or contract in future years. This will provide managers’ information that can help guide appropriate actions under warming conditions.","2021-03-24","2025-02-21 22:45:45","2025-02-21 22:45:45","2025-02-21 22:45:45","220-234","","1","78","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/XRSZ992P/Predicted shifts of groundfish distribution in the - Rooper et al. - 2021.pdf","","","","Bartolino, Valerio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBP4F5TZ","journalArticle","2003","Kido, Js; Murray, Sn","Variation in owl limpet <i>Lottia gigantea</i> population structures, growth rates, and gonadal production on southern California rocky shores","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps257111","http://www.int-res.com/abstracts/meps/v257/p111-124/","","2003","2025-02-21 22:45:48","2025-02-21 22:45:48","2025-02-21 22:45:48","111-124","","","257","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMK48T8I","journalArticle","2014","Ferreri, Gastón A. Bazzino","Length—Weight Relationships and Condition Factors of the Humboldt Squid (dosidicus Gigas) from the Gulf of california and the Pacific Ocean","Journal of Shellfish Research","","0730-8000, 1943-6319","10.2983/035.033.0311","http://www.bioone.org/doi/abs/10.2983/035.033.0311","","2014-11","2025-02-21 22:45:49","2025-02-21 22:45:49","2025-02-21 22:45:49","769-780","","3","33","","Journal of Shellfish Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWC2JP34","journalArticle","2001","M., Fine; H., Zibrowius; Y., Loya","Oculina patagonica : a non-lessepsian scleractinian coral invading the Mediterranean Sea","Marine Biology","","0025-3162, 1432-1793","10.1007/s002270100539","http://link.springer.com/10.1007/s002270100539","","2001-06-01","2025-02-21 22:45:50","2025-02-21 22:45:50","2025-02-21 22:45:50","1195-1203","","6","138","","Marine Biology","Oculina patagonica","","","","","","","","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHW7ZZCP","journalArticle","2019","Underwood, Elizabeth B.","Determining the Salinity Tolerance of Invasive Island Apple Snail Pomacea maculata (Perry, 1810) Hatchlings to Assess the Invasion Probability in Estuarine Habitats in South Carolina, USA","Journal of Shellfish Research","","0730-8000","10.2983/035.038.0116","https://bioone.org/journals/journal-of-shellfish-research/volume-38/issue-1/035.038.0116/Determining-the-Salinity-Tolerance-of-Invasive-Island-Apple-Snail-Pomacea/10.2983/035.038.0116.full","","2019-04-17","2025-02-21 22:45:51","2025-02-21 22:45:51","2025-02-21 22:45:51","177","","1","38","","Journal of Shellfish Research","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9FH4MSS","journalArticle","2011","Keyl, Friedemann; Argüelles, Juan; Tafur, Ricardo","Interannual variability in size structure, age, and growth of jumbo squid (Dosidicus gigas) assessed by modal progression analysis","ICES Journal of Marine Science","","1095-9289, 1054-3139","10.1093/icesjms/fsq167","https://academic.oup.com/icesjms/article/68/3/507/655651","Abstract             Keyl, F., Argüelles, J., and Tafur, R. 2011. Interannual variability in size structure, age, and growth of jumbo squid (Dosidicus gigas) assessed by modal progression analysis. – ICES Journal of Marine Science, 68: . A range of growth rates, longevity, maximum size, and number of annual cohorts have been documented for jumbo squid (Dosidicus gigas). Genetic and phenotypic plasticity have been mentioned as possible sources of the differences in maximum sizes. Here, a large dataset on length frequencies derived from the industrial jig fishery for the species off Peru from 1991 to 2007 was corrected for observation bias introduced by the fishing gear and used to analyse growth-related parameters by modal progression analysis (MPA). Mean growth rates of 33 cohorts varied interannually (11–44 mm month−1), as did longevity (11.1–32.1 months) and mean maximum size (273–1024 mm). Intra-annual difference in growth parameters was not significant. The number of cohorts per year fluctuated between 0 and 6. Fast-growing cohorts with medium longevity and large terminal size were found during moderately cool periods, and long-lived, slow-growing cohorts with small terminal size during extreme ecosystem conditions (El Niño and La Niña). The application of MPA to cephalopod populations has been rejected before, but the results presented suggest that a modified approach is appropriate if it allows for varying growth parameters and includes a correction for observation bias.","2011-03-01","2025-02-21 22:45:52","2025-02-21 22:45:52","2025-02-21 22:45:52","507-518","","3","68","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/3NEDFDUE/Interannual variability in size structure, age, an - Keyl et al. - 2011.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BMDBWA9","journalArticle","2014","Esqueda-González, María Del Carmen; Ríos-Jara, Eduardo; Galván-Villa, Cristian; Rodríguez-Zaragoza, Fabian","Species composition, richness, and distribution of marine bivalve molluscs in Bahía de Mazatlán, México","ZooKeys","","1313-2970, 1313-2989","10.3897/zookeys.399.6256","http://zookeys.pensoft.net/articles.php?id=3697","","2014-04-08","2025-02-21 22:45:54","2025-02-21 22:45:54","2025-02-21 22:45:54","43-69","","","399","","ZK","","","","","","","","","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/4ADUCIT8/Species composition, richness, and distribution of - Esqueda-González et al. - 2014.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ANGMC96","journalArticle","2006","Ellingson, Ryan A.; Krug, Patrick J.","EVOLUTION OF POECILOGONY FROM PLANKTOTROPHY: CRYPTIC SPECIATION, PHYLOGEOGRAPHY, AND LARVAL DEVELOPMENT IN THE GASTROPOD GENUS ALDERIA","Evolution","","0014-3820","10.1554/06-145.1","http://doi.wiley.com/10.1554/06-145.1","","2006","2025-02-21 22:45:59","2025-02-21 22:45:59","2025-02-21 22:45:59","2293","","11","60","","Evol","EVOLUTION OF POECILOGONY FROM PLANKTOTROPHY","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XZLNRCX5","journalArticle","2017","Hiller, Alexandra; Lessios, Harilaos A.","Phylogeography of Petrolisthes armatus, an invasive species with low dispersal ability","Scientific Reports","","2045-2322","10.1038/s41598-017-03410-8","https://www.nature.com/articles/s41598-017-03410-8","Abstract                            Theoretically, species with high population structure are likely to expand their range, because marginal populations are free to adapt to local conditions; however, meta-analyses have found a negative relation between structure and invasiveness. The crab               Petrolisthes armatus               has a wide native range, which has expanded in the last three decades. We sequenced 1718 bp of mitochondrial DNA from native and recently established populations to determine the population structure of the former and the origin of the latter. There was phylogenetic separation between Atlantic and eastern Pacific populations, and between east and west Atlantic ones. Haplotypes on the coast of Florida and newly established populations in Georgia and South Carolina belong to a different clade from those from Yucatán to Brazil, though a few haplotypes are shared. In the Pacific, populations from Colombia and Ecuador are highly divergent from those from Panamá and the Sea of Cortez. In general, populations were separated hundreds to million years ago with little subsequent gene flow. High genetic diversity in the newly established populations shows that they were founded by many individuals. Range expansion appears to have been limited by low dispersal rather than lack of ability of marginal populations to adapt to extreme conditions.","2017-06-13","2025-02-21 22:46:00","2025-02-21 22:46:00","2025-02-21 22:46:00","3359","","1","7","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/6IYUK7FU/Phylogeography of Petrolisthes armatus, an invasiv - Hiller and Lessios - 2017.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGD9PF8H","journalArticle","2024","Baniya, Anil; Goldy, Connor J.; Ardpairin, Jiranun; Achi, Perla; Chang, Yu Wei; Adrianza, Rose C.; Vitta, Apichat; Dillman, Adler R.","Canine Schistosomiasis in the West Coast: Heterobilharzia americana in Two Natural Intermediate Hosts Found in the Colorado River, California","Pathogens","","2076-0817","10.3390/pathogens13030245","https://www.mdpi.com/2076-0817/13/3/245","The emergence of infectious diseases presents a significant global health, economic, and security risk. Climate change can unexpectedly lead to the spread of pathogens, vectors, or hosts into new areas, contributing to the rise of infectious diseases. Surveillance plays a crucial role in monitoring disease trends and implementing control strategies. In this study, we document the first discovery of Heterobilharzia americana, a parasitic schistosome of mammals and its intermediate hosts Galba cubensis and Galba humilis along the banks of the Colorado River in California. We conducted multiple samplings of snails from various locations in the region with a previous history of canine schistosomiasis. Nucleotide sequencing of the multiple regions of the snails’ and parasites’ DNA revealed the coexistence of G. cubensis and G. humilis, both infected with H. americana. Phylogenetic analyses further validate the presence of H. americana in California, suggesting a wider distribution than previously reported. Our findings have implications for public health, veterinary medicine, and biodiversity conservation, contributing to developing effective control strategies to prevent the spread of this emerging infectious disease.","2024-03-13","2025-02-21 22:46:03","2025-02-21 22:46:03","2025-02-21 22:46:03","245","","3","13","","Pathogens","Canine Schistosomiasis in the West Coast","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/GLDRNJIS/Canine Schistosomiasis in the West Coast Heterobi - Baniya et al. - 2024.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PFAL66E","journalArticle","2009","Campos, Ernesto; De Campos, Alma; Manriquez, Iván","Intertidal thalassinidean shrimps (Thalassinidea, Callianassidae and Upogebiidae) of the west coast of Baja California, Mexico: annotated checklist, key for identification, and symbionts","Crustaceana","","0011-216X, 1568-5403","10.1163/001121609X12481627024454","https://brill.com/view/journals/cr/82/10/article-p1249_3.xml","","2009","2025-02-21 22:46:06","2025-02-21 22:46:06","2025-02-21 22:46:06","1249-1263","","10","82","","Crustac","Intertidal thalassinidean shrimps (Thalassinidea, Callianassidae and Upogebiidae) of the west coast of Baja California, Mexico","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
